Paper Name,Link,Year,Venue
Towards Automatic Construction of Reusable Prediction Models for Component-Based Performance Engineering,https://dl.gi.de/handle/20.500.12116/22223,2008,Software Engineering
Generating Probabilistic and Intensity-Varying Workload for Web-Based Software Systems,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-540-69814-2_9,2008,SIPEW
Analysing Software Repositories to Understand Software Evolution,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-540-76440-3_3,2008,Chapter
Modularity-maximizing graph communities via mathematical programming,https://link-springer-com.proxy-ub.rug.nl/article/10.1140/epjb/e2008-00425-1,2008,The European Physical Journal B
On Modularity Clustering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4358966,2008,IEEE Transactions on Knowledge and Data Engineering
Efficient modularity optimization by multistep greedy algorithm and vertex mover refinement,https://journals-aps-org.proxy-ub.rug.nl/pre/abstract/10.1103/PhysRevE.77.046112,2008,Physical Review E
"Evaluation: From Precision, Recall and F-Factor to ROC, Informedness, Markedness & Correlation",https://www.researchgate.net/publication/228529307_Evaluation_From_Precision_Recall_and_F-Factor_to_ROC_Informedness_Markedness_Correlation,2008,Technical report
Cross-language Clone Detection,https://www.researchgate.net/publication/221389781_Cross-language_Clone_Detection,2008,SEKE
Critical Infrastructure and Control Systems Security Curriculum,https://www.hsdl.org/?abstract&did=7969,2008,Department of Homeland Security
DeMIMA: A Multilayered Approach for Design Pattern Identification,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4564471?arnumber=4564471,2008,IEEE Transactions on Software Engineering
An Empirical Study of Function Clones in Open Source Software,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4656397,2008,WCRE
Domain Analysis of Device Drivers Using Code Clone Detection Method,https://onlinelibrary-wiley-com.proxy-ub.rug.nl/doi/abs/10.4218/etrij.08.0107.0204,2008,ETRI Journal
Assessing software archives with evolutionary clusters,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4556131,2008,ICPC
Logical Coupling Based on Fine-Grained Change Information,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4656392,2008,WCRE
Deriving an approximation algorithm for automatic computation of ripple effect measures,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0950584907000791?via%3Dihub,2008,Information and Software Technology
Applied Regression Analysis and Generalized Linear Models,https://www.amazon.nl/Applied-Regression-Analysis-Generalized-Linear/dp/0761930426,2008,Book
The road ahead for Mining Software Repositories,https://ieeexplore.ieee.org/abstract/document/4659248,2008,10.1109/FOSM.2008.4659248
Decision making with the analytic hierarchy process,https://www.inderscienceonline.com/doi/abs/10.1504/IJSSCI.2008.017590,2008,10.1504/IJSSCI.2008.017590
"The Concept of Information Overload - A Review of Literature from Organization Science, Accounting, Marketing, MIS, and Related Disciplines (2004)",https://doi.org/10.1007/978-3-8349-9772-2_15,2008,
Finding the right facts in the crowd: factoid question answering over social media,https://doi.org/10.1145/1367497.1367561,2008,10.1145/1367497.1367561
Tracking source locations,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4814112,2008,ICSE
A comparative analysis of the efficiency of change metrics and static code attributes for defect prediction,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/4814129,2008,ICSE
Predicting defects using network analysis on dependency graphs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/4814164,2008,ICSE
Toward a Catalogue of Architectural Bad Smells,https://jgarcia.ics.uci.edu/wp-content/uploads/10.1.1.183.9958.pdf,2009,International Conference on the Quality of Software Architectures: Architectures for Adaptive Software Systems
Application of 80/20 rule in software engineering Waterfall Model,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5267186,2009,International Conference on Information and Communication Technologies
"Managing architectural decision models with dependency relations, integrity constraints, and production rules",https://www.researchgate.net/publication/222659875_Managing_architectural_decision_models_with_dependency_relations_integrity_constraints_and_production_rules,2009,Journal of Systems and Software
A comparative study of architecture knowledge management tools,https://ulir.ul.ie/bitstream/handle/10344/2101/2009_Tang.pdf?sequence=2,2009,Journal of Systems and Software
Software engineering for robotics [From the Guest Editors],https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4799437?arnumber=4799437,2009,IEEE Robotics & Automation Magazine
ROS: an open-source Robot Operating System,https://www.researchgate.net/publication/233881999_ROS_an_open-source_Robot_Operating_System,2009,ICRA
Architectural design decision: Existing models and tools,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5290823,2009,WICSA/ECSA
The Decision View's Role in Software Architecture Practice,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4786950,2009,IEEE Software
Agile Tool Market Growing with the Philophy,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4786959,2009,IEEE Software
Identifying Architectural Bad Smells,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4812762,2009,ECSR
An Investigation of the Relationships between Lines of Code and Defects,https://ieeexplore-ieee-org.proxy-ub.rug.nl/stamp/stamp.jsp?arnumber=5306304,2009,ICSM 
Secure Design Patterns,https://www.researchgate.net/publication/242284520_Secure_Design_Patterns,2009,Article
Design Rule Hierarchies and Parallelism in Software Development Tasks,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5431770,2009,ICASE
On the Relationship Between Change Coupling and Software Defects,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5328803,2009,WCRE
"Software Dependencies, Work Dependencies, and Their Impact on Failures",https://ieeexplore-ieee-org.proxy-ub.rug.nl/stamp/stamp.jsp?arnumber=5166450,2009,IEEE Transactions on Software Engineering
Analysis of pervasive multi-component defects in a large software system,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5306307,2009,ICSM
Lecture Notes in Computer Science,https://www.researchgate.net/publication/221553853_Lecture_Notes_in_Computer_Science,2009,Architecting Dependable Systems
Guidelines for conducting and reporting case study research in software engineering,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s10664-008-9102-8,2009,Empirical Software Engineering
Perflint: A Context Sensitive Performance Advisor for C++ Programs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4907670,2009,CGO
Chameleon: adaptive selection of collections,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1543135.1542522,2009,ACM SIGPLAN Notices
Software Architecture Reconstruction: A Process-Oriented Taxonomy,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4815276,2009,IEEE Transactions on Software Engineering
"Software Architecture: Foundations, Theory, and Practice",https://www.amazon.com/Software-Architecture-Foundations-Theory-Practice/dp/0470167742,2009,Book
The Concept of Reference Architectures,https://onlinelibrary-wiley-com.proxy-ub.rug.nl/doi/10.1002/sys.20129,2009,Systems Engineering
Rule-Based Architectural Compliance Checks for Enterprise Architecture Management,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5277678,2009,International Distributed Object Computing Conference
Comparative analysis of evolving software systems using the Gini coefficient,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5306322,2009,ICSM
Why is the web loosely coupled?: a multi-faceted metric for service design,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1526709.1526832,2009,WWW
Ensemble-based classifiers,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s10462-009-9124-7,2009,Artificial Intelligence Review
The WEKA data mining software: an update,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1656274.1656278,2009,ACM SIGKDD Explorations Newsletter
From retrospect to prospect: Assessing modularity and stability from software architecture,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5290817,2009,WICSA/ECSA
Characterizing essential and incidental complexity in software architectures,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5290816,2009,WICSA/ECSA
Enabling Agile Testing through Continuous Integration,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5261055,2009,Agile Conference
Tracking Your Changes: A Language-Independent Approach,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4721183,2009,IEEE Software
SAVE: Software Architecture Visualization and Evaluation,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4812786,2009,ECSMR
Automatic Static Unpacking of Malware Binaries,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5328814,2009,WCRE
SCanDroid: Automated security certification of Android applications,https://www.researchgate.net/publication/228847936_SCanDroid_Automated_security_certification_of_Android_applications,2009,Article
Identification of Move Method Refactoring Opportunities,https://ieeexplore-ieee-org.proxy-ub.rug.nl/stamp/stamp.jsp?tp=&arnumber=4752842,2009,IEEE Transactions on Software Engineering
Architecture Reconstruction: Tutorial on Reverse Engineering to the Architectural Level,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-540-95888-8_6,2009,Software Engineering
The lonesome architect,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5290792,2009,WICSA/ECSA
Analogies in design decision-making,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/1671011.1671027,2009,BCS-HCI
The Discovery of Grounded Theory: Strategies for Qualitative Research,https://www-taylorfrancis-com.proxy-ub.rug.nl/books/mono/10.4324/9780203793206/discovery-grounded-theory-barney-glaser-anselm-strauss,2009,Book
A systematic review of software fault prediction studies,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0957417408007215?via%3Dihub,2009,Expert Systems with Applications
Model-Based Customization and Deployment of Eclipse-Based Tools: Industrial Experiences,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5431766,2009,ASE
Default values for improved product line mangement,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/1753235.1753243,2009,SPLC
Extreme Product Line Engineering: Managing Variability and Traceability via Executable Specifications,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5261110/footnotes#footnotes,2009,Agile Conference
Evolution in Model-Driven Software Product-Line Architectures,https://www-igi-global-com.proxy-ub.rug.nl/gateway/chapter/29446,2009,Chapter
Evolution styles: Foundations and tool support for software architecture evolution,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5290799,2009,WICSA/ECSA
Feature model to product architectures: Applying MDE to Software Product Lines,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5290806?reload=true&arnumber=5290806,2009,WICSA/ECSA
A scoped approach to traceability management,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0164121208002033?via%3Dihub,2009,Journal of Systems and Software
XTraQue: traceability for product line systems,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s10270-007-0066-8,2009,Software & Systems Modeling
Evolutionary architecting of embedded automotive product lines: An industrial case study,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5290796,2009,WICSA/ECSA
Software Architecture Knowledge Management: Theory and Practice,https://www.amazon.com/Software-Architecture-Knowledge-Management-Practice/dp/3642424899,2009,Book
The GRIFFIN Project: Lessons Learned,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-02374-3_8,2009,Chapter
On the similarity between requirements and architecture,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0164121208002574?via%3Dihub,2009,Journal of Systems and Software
A Scenario-Based Technique for Developing SOA Technical Governance,https://resources.sei.cmu.edu/library/asset-view.cfm?assetid=8959,2009,Technical report
A Service Lifecycle and Information Model for Service-Oriented Architectures,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5359610,2009,Computation World
Guidelines for industrially-based multiple case studies in software engineering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5089295,2009,RCIS
What Makes APIs Hard to Learn? Answers from Developers,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5287006,2009,IEEE Software
MAPO: Mining and Recommending API Usage Patterns,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-03013-0_15,2009,ECOOP
Graph-based mining of multiple object usage patterns,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1595696.1595767,2009,ESEC/FSE
The Palladio component model for model-driven performance prediction,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0164121208001015?via%3Dihub,2009,Journal of Systems and Software
Automated extraction of palladio component models from running enterprise Java applications,https://dl-acm-org.proxy-ub.rug.nl/doi/10.4108/ICST.VALUETOOLS2009.7981,2009,VALUETOOLS
Closing the Gap between Modelling and Java,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-12107-4_25,2009,SLE
Model-based performance prediction for event-driven systems,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1619258.1619300,2009,DEBS
Empirical study of software quality evolution in open source projects using agile practices,https://arxiv.org/abs/0905.3287,2009,International Symposium on Emerging Trends in Software Metrics
Multi-level Algorithms for Modularity Clustering,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-02011-7_24,2009,SEA
Handbook of biological statistics,https://www.biostathandbook.com/,2009,Book
The SCADA challenge: securing critical infrastructure,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S1353485809700789?via%3Dihub,2009,Network Security
Extending the reflexion method for consolidating software variants into product lines,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s11219-009-9077-8,2009,Software Quality Journal
A Bayesian Approach for the Detection of Code and Design Smells,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5381430,2009,QSIC
The evolution and impact of code smells: A case study of two open source systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5314231,2009,ESEM
Sourcerer: mining and searching internet-scale software repositories,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1007/s10618-008-0118-x,2009,Data Mining and Knowledge Discovery
"Managing architectural decision models with dependency relations, integrity constraints, and production rules",https://www.sciencedirect.com/science/article/pii/S0164121209000181,2009,10.1016/j.jss.2009.01.039
Guidelines for conducting and reporting case study research in software engineering,https://doi.org/10.1007/s10664-008-9102-8,2009,10.1007/s10664-008-9102-8
Learning to Rank for Information Retrieval,https://www.nowpublishers.com/article/Details/INR-016,2009,10.1561/1500000016
Web search result summarization: title selection algorithms and user satisfaction,https://doi.org/10.1145/1645953.1646177,2009,10.1145/1645953.1646177
Expected reciprocal rank for graded relevance,https://doi.org/10.1145/1645953.1646033,2009,10.1145/1645953.1646033
Predicting faults using the complexity of code changes,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5070510,2009,ICSE
Taming Dynamically Adaptive Systems using models and aspects,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5070514,2009,ICSE
License integration patterns: Addressing license mismatches in component-based development,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5070520,2009,ICSE
Ævol: A tool for defining and planning architecture evolution,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5070563,2009,ICSE
Creating and evolving developer documentation: understanding the decisions of open source contributors,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882291.1882312,2010,FSE
Use of a multidimensional approach to study the evolution of software complexity,https://www.researchgate.net/publication/225151402_Use_of_a_multidimensional_approach_to_study_the_evolution_of_software_complexity,2010,Innovations in Systems and Software Engineering
Managing technical debt in software-reliant systems,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882362.1882373,2010,FoSER
Component co-evolution and component dependency: Speculations and verifications,https://www.researchgate.net/publication/224160531_Component_co-evolution_and_component_dependency_Speculations_and_verifications,2010,IET Software
The missing links: bugs and bug-fix commits,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882291.1882308,2010,FSE
Evaluating the Impact of Software Evolution on Software Clustering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5645451,2010,WCRE
Using Relational Topic Models to capture coupling among classes in object-oriented software systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5609687,2010,ICSM
Identifying architectural patterns used in open sourcee software: Approaches and challenges,https://www.researchgate.net/publication/48991638_Identifying_architectural_patterns_used_in_open_source_software_Approaches_and_challenges,2010,EASE
On the impact of fault tolerance tactics on architecture patterns,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2401736.2401738?preflayout=tabs,2010,SERENE
How do architecture patterns and tactics interact? A model and annotation,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1016/j.jss.2010.04.067,2010,Journal of Systems and Software
Finding low-utility data structures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1809028.1806617,2010,ACM SIGPLAN Notices
Detecting inefficiently-used containters to avoid bloat,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1809028.1806616,2010,ACM SIGPLAN Notices
The missing links: bugs and bug-fix commits,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882291.1882308,2010,FSE
"Software bloat analysis: finding, removing, and preventing performance problems in modern large-scale object-oriented applications",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882362.1882448,2010,FoSER
Performance analysis of idle programs,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1869459.1869519,2010,OOPSLA
REST in Practice: Hypermedia and Systems Architecture,https://www.amazon.com/REST-Practice-Hypermedia-Systems-Architecture/dp/0596805829,2010,Book
Investigating Web APIs on the World Wide Web,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5693251,2010,ECWS
Richardson Maturity Model: steps toward the glory of REST,https://martinfowler.com/articles/richardsonMaturityModel.html,2010,Article
Improving Automated Mapping in Reflexion Models Using Information Retrieval Techniques,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5645556,2010,WCRE
Static Architecture-Conformance Checking: An Illustrative Overview,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5204070,2010,IEEE Software
Standardized code quality benchmarking for improving software maintainability,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s11219-011-9144-9,2010,SQM
A Cognitive Model for Software Architecture Complexity,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5521750,2010,ICPC
A Lightweight Sanity Check for Implemented Architectures,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5440164,2010,IEEE Software
A brief survey on sequence classification,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882471.1882478,2010,ACM SIGKDD Explorations Newsletter
BlueGreenDeployment,https://martinfowler.com/bliki/BlueGreenDeployment.html,2010,Article
Coordination Implications of Software Coupling in Open Source Projects,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-13244-5_25,2010,OSS
A Probabilistic Based Approach towards Software System Clustering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/5714423,2010,CSMR
DECOR: A Method for the Specification and Detection of Code and Design Smells,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5196681,2010,IEEE Transactions on Software Engineering
Privilige Escalation Attacks on Android,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-18178-8_30,2010,ISC
A Small But Non-negligible Flaw in the Android Permission Scheme,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5630227,2010,IEEE International Symposium on Policies for Distributed Systems and Networks
Toward an architecture for never-ending language learning,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/2898607.2898816,2010,AAAI
Ontology-based information extraction: An introduction and a survey of current approaches,https://journals-sagepub-com.proxy-ub.rug.nl/doi/10.1177/0165551509360123,2010,Journal of Information Science
On the Comparability of Software Clustering Algorithms,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5521765,2010,ICPC
Incremental Reflexion Analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5714412,2010,CSMR
Acme: an architecture description interchange language,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1925805.1925814,2010,CASCON
An ontology-driven framework for supporting complex decision process,https://arxiv.org/pdf/1107.2997.pdf,2010,WAC
Structuring the modeling space and supporting evolution in software product line engineering,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0164121210000506?via%3Dihub,2010,Journal of Systems and Software
Simulating evolution in model-based product line engineering,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0950584910000479?via%3Dihub,2010,Information and Software Technology
Variability Management in Software Product Lines: An Investigation of Contemporary Industrial Challenges,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-15579-6_12,2010,SPLC
Guiding Architectural Restructuring through Architectural Styles,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5457783,2010,ECBS
Systematic literature reviews in software engineering -- A tertiary study,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0950584910000467?via%3Dihub,2010,Information and Software Technology
Universal Principles of Design,https://www.amazon.com/Universal-Principles-Design-Revised-Updated/dp/1592535879,2010,Book
Software engineering issues for mobile application development,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882362.1882443,2010,FoSER
Tool demonstration: a toolkit for architecture-centric software development,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1852761.1852784,2010,PPPJ
An Approach for Combining Model-Based and Scenario-Based Software Architecture Analysis,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5615103,2010,ICSEA
Session management vulnerabilities in today's web,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5487488,2010,IEEE Security & Privacy
Soot: a Java bytecode optimization framework,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1925805.1925818,2010,CASCON
A graph-based approach to API usage adaptation,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1869459.1869486,2010,OOPSLA
MoDisco: a generic and extensible framework for model driven reverse engineering,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1858996.1859032,2010,ASE
Using Genetic Search for Reverse Engineering of Parametric Behavior Models for Performance Prediction,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5530323,2010,IEEE Transactions on Software Engineering
"Automatically improve software architecture models for performance, reliability, and cost using evolutionary algorithms",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1712605.1712624,2010,WOSP/SIPEW
Towards Performance Prediction of Large Enterprise Applications Based on Systematic Measurements,http://citeseerx.ist.psu.edu.proxy-ub.rug.nl/viewdoc/download?doi=10.1.1.302.3300&rep=rep1&type=pdf#page=71,2010,WCOP
Investigating the Evolution of Bad Smells in Object-Oriented Code,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5654794,2010,QUATIC
Characterizing software architecture changes: A systematic review,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1016/j.infsof.2009.07.002,2010,Information and Software Technology
An analysis of developer metrics for fault prediction,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1868328.1868356,2010,PROMISE
Performance extrapolation that uses industry benchmarks with performance models,https://ieeexplore-ieee-org.proxy-ub.rug.nl/stamp/stamp.jsp?arnumber=5588815,2010,SPECTS
"Rigi-An environment for software reverse engineering, exploration, visualization, and redocumentation",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1016/j.scico.2009.10.007,2010,Science of Computer Programming
Characterizing Failures in Mobile OSes: A Case Study with Android and Symbian,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5635045,2010,ISSRE
"Cyberthreats, Vulnerabilities and Attacks on SCADA Networks",https://www.researchgate.net/publication/242464191_Cyberthreats_Vulnerabilities_and_Attacks_on_SCADA_Networks,2010,University of California Berkeley Working Paper
Just Enough Software Architecture: A Risk-Driven Approach,https://www.amazon.com/Just-Enough-Software-Architecture-Risk-Driven/dp/0984618104,2010,Book
Ref-Finder: a refactoring reconstruction tool based on logic query templates,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882291.1882353,2010,FSE
IEEE Standard for Modeling and Simulation High Level Architecture--Framework and Rules,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5553440,2010,IEEE Standard
Code clones in feature-oriented software product lines,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1868294.1868310,2010,GPCE
Are all code smells harmful? A study of God Classes and Brain Classes in the evolution of three open source systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5609564,2010,ICSM
Transferring Evolutionary Couplings to Industry,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-90-481-9849-8_5,2010,Chapter
"Software architecture: foundations, theory, and practice",https://doi.org/10.1145/1810295.1810435,2010,10.1145/1810295.1810435
"Managing Consistency between Textual Requirements, Abstract Interactions and Essential Use Cases",https://ieeexplore.ieee.org/abstract/document/5676276,2010,10.1109/COMPSAC.2010.40
Cross-Market Model Adaptation with Pairwise Preference Data for Web Search Ranking,https://aclanthology.org/C10-2003,2010,
Flexible architecture conformance assessment with ConQAT,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/6062171,2010,ICSE
A cost-benefit framework for making architectural decisions in a business context,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1810295.1810317,2010,ICSE
A machine learning approach for tracing regulatory codes to product specific requirements,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6062083,2010,ICSE
StakeNet: using social networks to analyse the stakeholders of large-scale software projects,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6062097,2010,ICSE
Capturing the Long-term impact of changes,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6062222,2010,ICSE
Finding relevant answers in software forums,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6100069,2011,ASE
APIExample: An effective web search based usage example recommendation system for java APIs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6100133,2011,ASE
Energy-aware resource allocation heuristics for efficient management of data centers for Cloud computing,http://citeseerx.ist.psu.edu.proxy-ub.rug.nl/viewdoc/download?doi=10.1.1.436.1504&rep=rep1&type=pdf,2011,Article
Recommended Steps for Thematic Synthesis in Software Engineering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6092576,2011,International Symposium on Empirical Software Engineering and Measurement
Fine-grained power modeling for smartphones using system call tracing,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1966445.1966460,2011,Proceedings of the sixth conference on Computer systems
Enhancing architectural recovery using concerns,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6100123,2011,ASE
Supporting Architectural Design Decisions Evolution through Model Driven Engineering,https://www.researchgate.net/publication/215645897_Supporting_Architectural_Design_Decisions_Evolution_through_Model_Driven_Engineering,2011,SERENE
Necessary and neglected?: an empirical study of internal documentation in agile software development teams,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2038476.2038509,2011,SIGDOC
LIBSVM: A Library for support vector machines,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1961189.1961199,2011,ACM Transactions on Intelligent Systems and Technology
Assessing architectural drift in commercial software development: a case study,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1002/spe.999,2011,Software-Practice & Experience
Sustainability evaluation of software architectures: a sytematic review,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2000259.2000263,2011,QoSA-ISARCS
High-impact defects: a study of breakage and surprise defects,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2025113.2025155,2011,ESEC/FSE
Supporting product development with software from the bazaar,https://ulir.ul.ie/handle/10344/1825,2011,Thesis
Improving quality attributes of software systems through software architecture patterns,https://www-semanticscholar-org.proxy-ub.rug.nl/paper/Improving-quality-attributes-of-software-systems-Harrison/e3bb864cda85ab357e942ac9a3254d4beaa3e334,2011,Thesis
Ubiquitous Capability Access for Continuous Service Execution Mobile Environments,https://www.researchgate.net/publication/235767922_Ubiquitous_Capability_Access_for_Continuous_Service_Execution_Mobile_Environments,2011,UCAml
Pattern-Based Architecture Reviews,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5661759?arnumber=5661759,2011,IEEE Software
EvoSuite: automatic test suite generation for object-oriented software,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2025113.2025179,2011,ESEC/FSE
Brainy: effective selection of data structures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1993316.1993509,2011,ACM SIGPLAN Notices
ReLink: recovering links between bugs and changes,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2025113.2025120,2011,ESEC/FSE
