Paper Name,Link,Year,Type,Analysed,MSR,SA,MSR4SA,Rank,Data Extraction,Note,Description,
A qualitative study on performance bugs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6224281,2012,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analyzed",
Static Detection of Loop-Invariant Data Structures,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-31057-7_32,2012,ECOOP,No,Yes,No,No,,,,"Their work targets data structures that are loop-invariant, and presents a static type and effect system to detect loop-invariant data structures",
Speedoo: Prioritizing Performance Optimization Oppertunities,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8453154,2018,ICSE,No,Yes,Yes,Yes,A*,,,"This paper contributes a new approach, named Speedoo, to identify groups of methods that should be treated together and deserve high priorities for performance optimization",
Efficient path profiling,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/243846.243857,1996,MICRO,No,No,No,No,,,,This paper describes a new algorithm for path profiling,
Software profiling for hot path prediction: less is more,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/356989.357008,2000,ACM SIGPLAN Notices,No,No,No,No,,,,"In this paper, they show that sophisticated software profiling schemes that provide highly accurate information in an offline setting are ill-suited for dynamic code generation systems",
Whole program paths,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/301631.301678,1999,ACM SIGPLAN Notices,No,No,No,No,,,,This paper explains how to collect and represent Whole Program Paths,
Generating Performance Distributions via Probabilistic Symbolic Execution,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7886891,2016,ICSE,No,No,No,No,,,,"In this paper, they propose a performance analysis framework PerfPlotter. It takes the program source code and usage profile as inputs and generates a performance distribution that captures the input probability distribution over execution times for the program",
Input-sensitive profiling,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2254064.2254076,2012,PLDI,No,Yes,No,No,,,,In this paper they present a profiling methodology and toolkit for helping developers discover hidden asympotic inefficiencies in the code,
Efficient flow profiling for detecting performance bugs,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2931037.2931066,2016,ISSTA,No,Yes,No,No,,,,"In this paper, they design and implement an efficient instrumentation technique that efficiently generates object flow profiles for Java programs, without requiring any modifications to the underlying virtual machine",
Automatically finding performance problems with feedback-directed learning software testing,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/6227197,2012,ICSE,No,Yes,No,No,,,,They offer a novel solution for finding performance problems in applications automatically using black-box software testing,
Automating performance bottleneck detection using search-based application profiling,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2771783.2771816,2015,ISSTA,No,Yes,No,No,,,,They propose a novel approach for automating performance bottleneck detection using search-based input-sensitive application profiling,
EvoSuite: automatic test suite generation for object-oriented software,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2025113.2025179,2011,ESEC/FSE,No,No,No,No,,,,"This paper presents EvoSuite, a tool that automatically generates test cases with assertions for classes written in Java code",
Finding reusable data structures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2398857.2384690,2012,ACM SIGPLAN Notices,No,No,No,No,,,,This paper presents a run-time technique that can be used to help programmers find allocation sites that create data structures with disjoint lifetimes to improve performance,
Brainy: effective selection of data structures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1993316.1993509,2011,ACM SIGPLAN Notices,No,Yes,No,Yes,Not ranked,,,"This paper presents the design and evaluation of Brainy, a new program analysis tool that automatically selects the best data structure for a given program and its input on a specific microarchitecture",
Finding low-utility data structures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1809028.1806617,2010,ACM SIGPLAN Notices,No,Yes,No,No,,,,"They demonstrate two client analyses: one that finds objects that are expensive to construct but are not necessary for the forward execution, and second that pinpoints ultimately-dead values",
Performance Issues and Optimizations in JavaScript: An Empirical Study,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7886892,2016,ICSE,No,Yes,No,No,,,,This paper presents an empirical study of 98 fixed performance issues from 16 popular client-side and server-side JavaScript projects,
Perflint: A Context Sensitive Performance Advisor for C++ Programs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4907670,2009,CGO,No,Yes,No,No,,,,"They present perflint, a new industrial strength open source analysis tool that identifies suboptimal use patterns of the C++ standard library",
CoCo: Sound and Adaptive Replacement of Java Collections,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-39038-8_1,2013,ECOOP,No,Yes,No,No,,,,"This paper presents an application-level dynamic optimization technique called CoCo, that exploits algorithmic advantages of Java collections to improve performance ",
Chameleon: adaptive selection of collections,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1543135.1542522,2009,ACM SIGPLAN Notices,No,No,No,No,,,,"In this paper, they present CHAMELEON, a low-overhead automatic tool that assists the programmer in choosing the appropriate collection implementation for their application",
Detecting inefficiently-used containters to avoid bloat,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1809028.1806616,2010,ACM SIGPLAN Notices,No,Yes,No,No,,,,This paper presents practical static and dynamic tools that can find inappropriate use of containers in Java programs,
Toddler: Detecting performance problems via similar memory-access patterns,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6606602,2013,ICSE,No,Yes,No,No,,,,"This paper presents Toddler, a novel automated oracle for performance bugs, which enables testing for performance bugs to use the well established and automated process of testing for functional bugs",
Caramel: detecting and fixing performance problems that have non-intrusive fixes,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/2818754.2818863,2015,ICSE,No,Yes,No,No,,,,"This paper presents Caramel, a novel static technique that detects and fixes performance bugs that have non-intrusive fixes likely to be adopted by developers",
Performance Diagnosis for Inefficient Loops,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7985677,2017,ICSE,No,Yes,No,No,,,,"In this paper, they first design a root-cause and fix-strategy taxonomy for inefficient loops, one of the most common performance problems in the field. They then design a static-dynamic hybrid analysis tool, LDoctor, to provide accurate performance diagnosis for loops",
Static detection of asymptotic performance bugs in collection traversals,https://dl.acm.org/doi/10.1145/2813885.2737966,2015,ACM SIGPLAN Notices,No,Yes,No,No,,,,This paper identifies and formalizes a prevalent class of asymptotic performance bugs called redundant traversal bugs and presents a novel static analysis for automatically detecting them,
Directed test generation to detect loop inefficiencies,https://dl.acm.org/doi/10.1145/2950290.2950360,2016,FSE,No,No,No,No,,,,"In this paper, they design a novel, scalable and automatic approach that addresses the design of an approach to automatically generate tests for exposing redundant traversal of loops",
Statistical debugging for real-world performance problems,https://dl.acm.org/doi/10.1145/2660193.2660234,2014,OOPSLA,No,No,No,No,,,,"Their study shows that statistical debugging is a natural fit for diagnosing performance problems, which are often observed through comparison-based approaches and reported together with both good and bad inputs",
Performance problems you can fix: a dynamic analysis of memoization opportunities,https://dl.acm.org/doi/10.1145/2858965.2814290,2015,ACM SIGPLAN Notices,No,No,No,No,,,,"To help developers find and use memoization opportunities, they present MemoizeIt, a dynamic analysis that identifies methods that repeatedly perform the same computation",
Cachetor: detecting cacheable data to remove bloat,https://dl.acm.org/doi/10.1145/2491411.2491416,2013,ESEC/FSE,No,Yes,No,No,,,,"To help the developers quickly find optimization opportunities for performance improvement, they propose a novel run-time profiling tool, called Cachetor, which uses a combination of dynamic dependence profiling and value profiling to identify and report operations that keep generating identical data values",
Jolt: lightweight dynamic analysis and removal of object churn,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1449955.1449775,2008,ACM SIGPLAN Notices,No,No,No,No,,,,"They develop an algorithm that uses capture and control to inline portions of the call graph to make churned object non-escaping, enabling churn optimization via escape analysis",
Understanding and detecting real-world performance bugs,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2345156.2254075,2012,ACM SIGPLAN Notices,No,Yes,No,No,,,,"This paper conducts a comprehensive study of 110 real-world performance bugs that are randomly sampled from five representative software suites (Apache, Chrome, GCC, Mozilla, and MySQL)",
"Discovering, reporting, and fixing performance bugs",https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6624035,2013,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analyzed",
Performance regression testing of concurrent classes,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2610384.2610393,2014,ISSTA,No,Yes,No,No,,,,"This paper presents SpeedGun, an automatic performance regression testing technique for thread-safe classes",
"SyncProf: detecting, localizing, and optimizing synchronization bottlenecks",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2931037.2931070,2016,ISSTA,No,Yes,No,No,,,,"This paper presents SyncProf, a concurrency-focused profiling approach that helps in detecting, localizing, and optimizing synchronization bottlenecks",
Removing unnecessary synchronization in Java,https://dl-acm-org.proxy-ub.rug.nl/doi/pdf/10.1145/320384.320388,1999,ACM SIGPLAN Notices,No,No,No,No,,,,They have developed a program optimization that automatically detects situations where synchronization can be safely suppressed and that rewrites the affected program parts to eliminate the unnecessary synchronizations,
Effective synchronization removal for Java,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/349299.349327,2000,PLDI,No,No,No,No,,,,They describe and evaluate the performance of an implementation in the Marmot native Java compiler,
Learning from Source Code History to Identify Performance Failures,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2851553.2851571,2016,ICPE,No,Yes,No,No,,,,This paper contracts source code changes against performance variations,
Titan: a toolset that connects software architecture with quality analysis,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2635868.2661677,2014,FSE,No,Yes,Yes,Yes,B,,,They show how Titan can capture both architecture and evolutionary structure and help bridge the gap between architecture and defect prediction,
Bridging the Gap between Software Architecture and Maintenance Quality,https://www-proquest-com.proxy-ub.rug.nl/docview/1828414950?pq-origsite=gscholar&fromopenview=true,2016,Thesis,No,Yes,Yes,Yes,Not ranked,,,"Their proposed methodology consists of three parts: 1) a new architecture model, called the DRSpace model, which simultaneously captures the modular structure and maintenance ""penalties"" of a software system; 2) an Architecture Root detection algorithm that automatically identifies the most problematic design spaces, aggregating bug-prone files in a software system; and 3) a formal definition of Architectural Debt and an approach that automatically identifies such debts, and quantifies the ""costs"" and ""interest rates"" of such debts",
A Linked Data platform for mining software repositories,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6224296,2012,MSR,Yes,,,,,,,"It is part of the MSR conference, so it is already analyzed",
The missing links: bugs and bug-fix commits,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882291.1882308,2010,FSE,No,No,No,No,,,,"First, they present Linkster, a tool to facilitate link reverse-engineering. Second, they evaluate this tool, engaging a core developer of the Apache HTTP web server project to exhaustively annotate 493 commits that occured during a six week period. Finally, they analyze this comprehensive data set, showing that there are serious and consequential problems in the data",
ReLink: recovering links between bugs and changes,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2025113.2025120,2011,ESEC/FSE,No,Yes,No,No,,,,"They developed an automatic link recovery algorithm, ReLink, which automatically learns criteria of features from explicit links to recover missing links. They have applied ReLink to three open source projects",
Recovering traceability links in software artifact management systems using information retrieval methods,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1276933.1276934,2007,ACM Transactions on Software Engineering and Methodology,No,No,No,No,,,,"They have improved an artifact management system with a traceability recovery tool based on Latent Semantic Indexing (LSI), an information retrieval technique. They have assessed LSI to identify strengths and limitations of using information retrieval techniques for traceability recovery and devised the need for an incremental approach",
Recovering traceability links between source code and fixed bugs via patch analysis,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1987856.1987863,2011,TEFSE,No,Yes,No,No,,,,"They use BugTrace, the tool implementing their approach, to conduct a case study in which they compare the links recovered by their approach to links recovered by manual inspection",
Overview of Teknowledge's domain-specific software architecture program,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/190679.190686,1994,ACM SIGSOFT Software Engineering Notes,No,No,Yes,No,,,,"In conjunction with their collaborators at ARDEC, they have produced a schema for describing architectures which is being used by ARDEC's community of contractors, by an ARPA architecture specification project for the Joint Task Force ATD, and by the Stanford Knowledge Systems Laboratory",
ArchJava: connecting software architecture to implementation,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1007967,2002,ICSE,No,Yes,Yes,Yes,A*,,1 program,"ArchJava is an extension to Java that seamlessly unifies software architecture with implementation, ensuring that the implementation conforms to architectural constraints. A case study applying ArchJava to a circuit-design application suggests that ArchJava can express architectural structure effectively within an implementation, and that it can aid in program understanding and software evolution",
Feature-gathering dependency-based software clustering using Dedication and Modularity,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6405308,2012,ICSM,No,Yes,No,No,,,Software clustering algorithm. SA is not explicitly mentioned,"In this paper, they proposed a novel dependency-based software clustering algorithm, SArF",
Software Clustering: Unifying Syntactic and Semantic Features,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6385107,2012,WCRE,No,Yes,No,No,,,Software clustering algorithm. SA is not explicitly mentioned,"One of the limitations of the existing software clustering approaches is that most of the proposed techniques use only similar types of features for esitmating distance between source code elements. Therefore, in cases, where the selected features are poorly present in the source code, these techniques may not produce good quality results in absence of adequate inputs to work on. In this paper they propose an approach to overcome this limitation",
Introduction to Modern Information Retrieval,https://sigir.org/files/museum/introduction_to_modern_information_retrieval/frontmatter.pdf,1983,Book,No,No,No,No,,,,This text is aimed at increasing the understanding of modern information retrieval by students of computer science as well as by students of information science and management science,
JProfiler: Code Coverage Analysis Tool for OMP Project,https://www.cs.cmu.edu/~aldrich/courses/654-sp09/tools/cho-jprofiler-06.pdf,2006,Project,No,No,No,No,,,,"The project objectives are to use JProfiler, an analysis tool, to report memory leaks on Nemo, to resolve threading issues on Nemo, to gain insight into the group management aspect of OMP using Nemo, and to use the gained knowledge for the MSE POSDATA studio project",
Kieker: a framework for application performance monitoring and dynamic software analysis,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2188286.2188326,2012,ICPE,No,No,No,No,,,,"This paper reviews the Kieker framework focusing on its features, its provided extension points for custom components, as well as the imposed monitoring overhead",
"Navigate, Understand, Communicate: How Developers Locate Performance Bugs",https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7321208,2015,ESEM,No,No,No,No,,,,They performed a qualitative user study observing twelve developers trying to fix documented performance bugs in two open source projects,
Characterizing and detecting performance bugs for smartphone applications,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2568225.2568229,2014,ICSE,No,Yes,No,No,,,,They conducted a study of 70 real-world performance bugs collected from eight large-scale and popular Android applications,
Mining performance specifications,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2950290.2950314,2016,FSE,No,Yes,No,No,,,,In this work they present an approach that mines performance specifications from running systems autonomously,
Coz: finding code that counts with causal profiling,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/2815400.2815409,2015,SOSP,No,Yes,No,No,,,,"They present Coz, a causal profiler, which they evaluate on a range of highly-tuned applications: Memcached, SQLite, and the PARSEC bechmarks suite. Coz identifies previously unknown optimization oppurtunities that are both significant and targeted",
PerfBlower: Quickly Detecting Memory-Related Performance Problems via Amplification,https://drops.dagstuhl.de/opus/volltexte/2015/5227/,2015,ECOOP,No,Yes,No,No,,,,"This paper describes PerfBlower, a general performance testing framework that allows developers to quickly test Java programs to find memory-related performance problems",
Patterns of Memory Inefficiency,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-22655-7_18,2011,ECOOP,No,Yes,No,No,,,,"They present a solution that discovers a small set of high-impact memory problems, by detecting patterns within a heap",
"Software bloat analysis: finding, removing, and preventing performance problems in modern large-scale object-oriented applications",https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1882362.1882448,2010,FoSER,No,No,No,No,,,,"They argue that, in the modern era when Moore's dividend becomes less obvious, performance optimization is more of a software engineering problem than ever and should receive much more attention in the future",
Performance analysis of idle programs,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/1869459.1869519,2010,OOPSLA,No,Yes,No,No,,,,This paper presents an approach for performance analysis of modern enterprise-class server applications,
Exploiting Traceability Uncertainty Between Software Architectural Models and Performance Analysis Results,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-319-23727-5_26,2015,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analysed",
Exploiting load testing and profiling for Performance Antipattern Detection,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S0950584917302276?via%3Dihub,2018,Information and Software Technology,No,Yes,No,No,,,,"The goal of this manuscript is to provide a systematic process, based on load testing and profiling data, to identify performance issues with runtime data",
WESSBAS: extraction of probabilistic workload specifications for load testing and performance prediction--a model-driven approach for session-based application systems,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s10270-016-0566-5,2018,Software & Systems Modeling,No,No,No,No,,,,This paper presents an approach that aims to automate the extraction and transformation of workload specifications for load testing and model-based performance prediction of session-based application systems,
PerOpteryx: Automated Improvement of Software Architectures,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8712150,2019,ICSA-C,Yes,,,,,,,"It is part of the ICSA conference, so it is already analysed",
Software Module Clustering as a Multi-Objective Search Problem,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5406532,2011,IEEE Transactions on Software Engineering,No,No,No,No,,,,"This paper introduces two novel multi-objective formulations of the software module clustering problem, in which several different objectives (including cohesion and coupling) are represented seperately",
Investigating the use of lexical information for software system clustering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5741257,2011,ECSMR,No,Yes,No,No,,,Software clustering algorithm. SA is not explicitly mentioned,In this paper they investigate the effectiveness of exploiting lexical information for software system clustering,
Object Oriented Software Clustering Based on Community Structure,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6130702/similar#similar,2011,APSEC,No,Yes,No,No,,,Comparison of software clustering algorithms,"In this paper, they propose the adaption of the fast community detection algorithm for object-oriented software clustering and evaluate its performance with other clustering algorithms in the literature",
Comparing four approaches for technical debt identification,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/2639037.2639042,2014,Software Quality Journal,No,Yes,No,No,,,,"They selected four different Technical Debt identification techniques (code smells, automatic static analysis issues, grime buildup, and Modularity violations) and applied them to 13 versions of the Apache Hadoop open source software project",
Software Architecture Reconstruction: A Process-Oriented Taxonomy,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4815276,2009,IEEE Transactions on Software Engineering,No,No,Yes,No,,,,This paper presents a state of the art in software architecture reconstruction approaches,
The Anatomy of the Grid: Enabling Scalable  Virtual Organizations,https://www.researchgate.net/publication/215757945_The_Anatomy_of_the_Grid_Enabling_Scalable_Virtual_Organizations,2001,International Journal of High Performance Computing Applications,No,No,Yes,No,,,,"The purpose of this article is to argue that the Grid concept is indeed motivated by a real and specific problem and that there is an emerging, well-defined Grid technology base that addresses significant aspects of this problem",
What Architects Should Know About Reverse Engineering and Rengineering,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1620085,2005,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
Hierarchical Clustering for Software Architecture Recovery,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/4339232,2007,IEEE Transactions on Software Engineering,No,Yes,Yes,Yes,A*,,,"They present an analysis of two recently proposed clustering algorithms, revealing close similarities in their apparently different clustering approaches. Experiments on four legacy software systems provide insight into the behaviour of well-known clustering algorithms and their characteristics in the software domain",
Using software evolution to focus architectural recovery ,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s10515-006-7737-5,2006,Automated Software Engineering,No,Yes,Yes,Yes,A*,,,"In this paper they propose a light-weight approach to architectural recovery, called Focus, which has three unique facets",
"Software Architecture: Foundations, Theory, and Practice",https://www.amazon.com/Software-Architecture-Foundations-Theory-Practice/dp/0470167742,2009,Book,No,No,Yes,No,,,,This brand-new text covers all facets of software architecture and how it serves as the intellectual centerpiece of software development and evolution,
Evolution in software architecture recovery techniques -- A survey,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8281704,2017,ICET,No,No,Yes,No,,,,The aim of this research is to provide a review of the solutions proposed regarding the recovery of software architecture over the years,
An Ontology-Based Method for HW/SW Architecture Reconstruction,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8633989,2019,IEEE Transactions on Computers,No,Yes,Yes,Yes,A*,,,They propose a method to reconstruct the architecture of a computing platform as a whole,
Investigating the Recovery of Product Line Architectures: An Approach Proposal,https://link-springer-com.proxy-ub.rug.nl/book/10.1007/978-3-319-56856-0,2017,ICSR,No,No,Yes,No,,,,"It is a software literature review, so it is outside of our scope",
A Methodological Approach for Software Architecture Recovery,https://indjst.org/articles/a-methodological-approach-for-software-architecture-recovery,2018,Indian Journal of Science and Technology,No,No,Yes,No,,,,"The objective of this work is to propose a methodology for Software Architecture Recovery, responding the specific needs of the context in which the need to recover the architecture of a software product is presented",
Reconstruction of execution architecture view using dependency relationships and execution traces,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/3167132.3167284,2018,SAC,No,Yes,Yes,Yes,B,,1 system,"In this paper, they propose a method that reconstructs an execution architecture view in the absence of architectural knowledge of the target system",
A System of Patterns: Pattern-Oriented Software Architecture: 1,https://www.amazon.nl/System-Patterns-Pattern-Oriented-Software-Architecture/dp/0471958697,1996,Book,No,No,Yes,No,,,,This book represents the progression and evolution of the pattern approach into a system of patterns capable of describing and documenting large-scale applications,
Design Patterns for Concurrent and Distributed Objects,https://www-computer-org.proxy-ub.rug.nl/csdl/proceedings-article/tools/2001/12510361/12OmNzgwmNy,2001,TOOLS,No,No,Yes,No,,,,"This article is about design patterns, so MSR is not used",
REST in Practice: Hypermedia and Systems Architecture,https://www.amazon.com/REST-Practice-Hypermedia-Systems-Architecture/dp/0596805829,2010,Book,No,No,Yes,No,,,,"In this insightful book, three SOA expert provide a down-to-earth explanation of REST and demonstrate how you can develop simple and elegant distributed hypermedia systems by applying the Web's guiding principles to common enterprise computing problems",
Principled design of the modern Web architecture,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/870431,2000,ICSE,No,No,Yes,No,,,,"They introduce the Representatinal State Transfer (REST) architectural style, developed as an abstract model of the Web architecture to guide their redesign and definition of the Hypertext Transfer Protocol and Uniform Resource Identifiers",
"Today's Top ""RESTful"" Services and Why They Are Not RESTful",https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-642-35063-4_26,2012,WISE,No,No,Yes,No,,,,In this paper they present an in-depth analysis for the top 20 RESTful services listed on programmableweb.com against 17 RESTful service design criteria found in literature,
Investigating Web APIs on the World Wide Web,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5693251,2010,ECWS,No,Yes,No,No,,,,"In this paper they present a thorough analysis of the current landscape of Web API forms and descriptions, which has up-to-date remained unexplored",
REST and Web Services: In Theory and in Practice,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-1-4419-8303-9_2,2011,Chapter,No,No,Yes,No,,,,This chapter evaluates some of the key questions regarding the real and perceived distinctions between RESTful services and services based on the WS- * standards,
Hypertext Transfer Protocol (HTTP/1.1): Semantics and Content,https://datatracker.ietf.org/doc/rfc7231/,2014,RFC - Proposed Standard,No,No,No,No,,,,"This documents defines the semantics of HTTP/1.1 messages, as expressed by request methods, request header fields, response status codes, and response header fields, along with the payload of messages (metadata and body content) and mechanisms for content negotiation",
Service Composition for REST,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6972057?reload=true,2014,EDOC,No,No,Yes,No,,,,"In their work, they follow a comprehensible methodology by deriving the key requirements for REST service composition directly from the REST constraints and then mapping these requirements to a standard compliant extension of the BPEL composition language ",
Detection of REST Patterns and Antipatterns: A Heuristics-Based Approach,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-662-45391-9_16,2014,ICSOC,No,No,Yes,No,,,,"They define detection heuristics for eight REST antipatterns and five patterns, and perform their detection on a set of 12 widely-used REST APIs including BestBuy, Facebook, and DropBox",
Are RESTful APIs Well-Designed? Detection of their Linguistic (Anti)Patterns,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-662-48616-0_11,2015,ICSOC,No,No,Yes,No,,,,"They provide detailed definitions of ten (ani)patterns and define and apply their detection algorithms on 15 widely-used RESTful APIs, including Facebook, Twitter, and Youtube",
Are REST APIs for Cloud Computing Well-Designed? An Exploratory Study,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-319-46295-0_10,2016,ICSOC,No,No,Yes,No,,,,They survey the literature and compile a catalog of 73 best practices in the design of REST APIs making APIs more understandable and reusable,
REST APIs: A large-Scale Analysis of Compliance with Principles and Best Practices,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-319-38791-8_2,2016,ICWE,No,No,No,No,,,,"They analyze more than 78 GB of HTTP traffic collected by Italy's biggest Mobile Internet provider over one full day and study how big the trend is in practice, how it changed the traffic that is generated by applications, and how REST APIs are implemented in practice",
Richardson Maturity Model: steps toward the glory of REST,https://martinfowler.com/articles/richardsonMaturityModel.html,2010,Article,No,No,Yes,No,,,,A model that breaks down the principal elements of a REST approach into three steps,
A Model-Driven Approach for REST Compliant Services,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6928890,2014,ICWS,No,No,Yes,No,,,,In this paper they propose a model-driven approach for modeling REST services,
A Conversation Based Approach for Modeling REST APIs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/7158518,2015,WICSA,Yes,,,,,,,"It is part of the ICSA conference, so it is already analysed",
Bootstrapping Complex Workflow Middleware Systems into the Cloud,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/7304283,2015,e-Science,No,No,Yes,No,,,,"The main idea presented in this paper is a multi-step bootstrapping process, starting with a minimal local software component and ending up with a complex workflow middleware running in the cloud",
Connecting web-based IoT devices to a cloud-based manufacturing platform,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/8217516/similar#similar,2017,IECON,No,No,No,No,,,,This research work presents an approach for connecting industrial Remote Terminal Units (RTUs) with the Cloud Collaborative Manufacturing Networks (C2NET) project cloud-based platform for publishing the factory shopfloor data,
Improving northbound interface communication in SDWSN,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8217468,2017,IECON,No,No,No,No,,,,The work done in this paper seeks to improve the northbound interface communications by addressing the issue of a metadata in REST as well as identifying potential platforms for the development of a metadata framework,
A Precise Model for Google Cloud Platform,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8360326,2018,IC2E,No,No,No,No,,,,"This paper introduces GCP (Google Cloud Platform) Model, an inferred formal model-driven specification of GCP which describes without ambiguity the resources offered by GCP",
A Systematic Review of Load Balancing Techniques in Software-Defined Networking,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/9097181,2020,IEEE Access,No,No,No,No,,,,This paper extends and reviews the discussion with a taxonomy of current emerging load balancing techniques in Software-Defined Networking systematically by categorizing the techniques as conventional and artificial intelligence-based techniques to improve the service quality,
An Analysis of Public REST Web Service APIs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8385157,2021,IEEE Transactions on Services Computing,No,No,Yes,No,,,,"In this paper, they go through the Alexa.com top 4000 most popular sites to identify precisely 500 websites claiming to provide a REST web service API. They analyze these 500 APIs for key technical features, degree of compliance with REST architectural principles (e.g., resource addressability), and for adherence to best practices (e.g., API versioning)",
An Analysis of RESTful APIs Offerings in the Industry,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-3-319-69035-3_43,2017,ICSOC,No,No,Yes,No,,,,This work presents a systematic analysis of 69 XaaS in the industry that offer RESTful APIs as part of their business model,
API governance support through the structural analysis of REST APIs,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/s00450-017-0384-1,2018,Computer Science - Research and Development,No,Yes,Yes,Yes,C,,,"In this work, they apply structural analysis of REST APIs in order to support API governance, resulting in a set of basic and aggregated metrics that characterize an API set and also guide further governance tasks. They apply the structural analysis on a set of 286 real world APIs and then demonstrate how to derive suitable metrics that represent the perceived complexity of an API, complemented and validated by a survey of developers following the AHP process",
